task,prompt,gamma,num_tokens,elapsed_sec,tokens_per_sec
code,Write a Python function that implements binary search on a sorted list.,2,200,1.811,110.4
code,"Write a Python class for a linked list with insert, delete, and search methods.",2,200,1.601,124.9
code,Implement quicksort in Python with detailed comments.,2,200,1.642,121.8
code,Write a Python function to find all prime numbers up to n using the Sieve of Era,2,200,1.786,112.0
code,Create a Python decorator that caches function results with a TTL expiry.,2,200,1.796,111.4
math,"Solve step by step: If 3x + 7 = 22, what is x?",2,187,1.586,117.9
math,A train travels 120 km in 2 hours. It then travels 180 km in 3 hours. What is it,2,158,1.285,123.0
math,Calculate the derivative of f(x) = x^3 * sin(x). Show your work.,2,200,1.588,126.0
math,"If a rectangle has a perimeter of 30 and a width of 5, what is its area?",2,200,1.62,123.5
math,Solve: The sum of three consecutive integers is 72. What are they?,2,200,1.729,115.7
chat,What are the pros and cons of remote work? Give a balanced view.,2,200,1.707,117.2
chat,Explain quantum computing to a 10-year-old.,2,200,1.938,103.2
chat,What are some healthy meal prep ideas for a busy week?,2,200,1.71,117.0
chat,Recommend 5 books for someone who loved Sapiens by Yuval Noah Harari.,2,200,2.008,99.6
chat,What's the difference between machine learning and deep learning?,2,200,1.89,105.8
summarization,Summarize the key ideas behind the theory of relativity in 5 bullet points.,2,200,1.8,111.1
summarization,Explain the main events of World War II in a concise paragraph.,2,200,1.705,117.3
summarization,Summarize how the internet works in simple terms.,2,200,1.798,111.2
summarization,Give a brief overview of the history of artificial intelligence.,2,200,1.73,115.6
summarization,Summarize the plot of Romeo and Juliet in 3 sentences.,2,91,0.861,105.6
code,Write a Python function that implements binary search on a sorted list.,4,200,1.849,108.2
code,"Write a Python class for a linked list with insert, delete, and search methods.",4,200,1.458,137.2
code,Implement quicksort in Python with detailed comments.,4,200,1.556,128.5
code,Write a Python function to find all prime numbers up to n using the Sieve of Era,4,200,1.765,113.3
code,Create a Python decorator that caches function results with a TTL expiry.,4,200,1.829,109.3
math,"Solve step by step: If 3x + 7 = 22, what is x?",4,187,1.447,129.3
math,A train travels 120 km in 2 hours. It then travels 180 km in 3 hours. What is it,4,158,1.242,127.2
math,Calculate the derivative of f(x) = x^3 * sin(x). Show your work.,4,200,1.52,131.6
math,"If a rectangle has a perimeter of 30 and a width of 5, what is its area?",4,200,1.456,137.3
math,Solve: The sum of three consecutive integers is 72. What are they?,4,200,1.727,115.8
chat,What are the pros and cons of remote work? Give a balanced view.,4,200,1.655,120.9
chat,Explain quantum computing to a 10-year-old.,4,200,2.139,93.5
chat,What are some healthy meal prep ideas for a busy week?,4,200,1.658,120.6
chat,Recommend 5 books for someone who loved Sapiens by Yuval Noah Harari.,4,200,2.099,95.3
chat,What's the difference between machine learning and deep learning?,4,200,2.056,97.3
summarization,Summarize the key ideas behind the theory of relativity in 5 bullet points.,4,200,1.851,108.0
summarization,Explain the main events of World War II in a concise paragraph.,4,200,1.684,118.8
summarization,Summarize how the internet works in simple terms.,4,200,2.021,99.0
summarization,Give a brief overview of the history of artificial intelligence.,4,200,1.654,120.9
summarization,Summarize the plot of Romeo and Juliet in 3 sentences.,4,91,0.849,107.1
code,Write a Python function that implements binary search on a sorted list.,6,200,1.889,105.9
code,"Write a Python class for a linked list with insert, delete, and search methods.",6,200,1.399,143.0
code,Implement quicksort in Python with detailed comments.,6,200,1.533,130.5
code,Write a Python function to find all prime numbers up to n using the Sieve of Era,6,200,1.867,107.1
