compression,gamma,task,prompt,num_tokens,elapsed_sec,tokens_per_sec,mean_acceptance_rate,mean_draft_entropy,mean_draft_confidence,num_steps
fp16,2,code,Write a Python function that implements binary search on a sorted list.,81,1.317,61.5,0.7812,0.864,0.8182,32
fp16,2,code,"Write a Python class for a linked list with insert, delete, and search methods.",80,1.144,69.9,0.9286,0.5806,0.8883,28
fp16,2,code,Implement quicksort in Python with detailed comments.,81,1.216,66.6,0.8667,0.5094,0.8843,30
fp16,2,code,Write a Python function to find all prime numbers up to n using the Sieve of Era,80,1.235,64.8,0.8333,0.558,0.882,30
fp16,2,code,Create a Python decorator that caches function results with a TTL expiry.,81,1.33,60.9,0.7424,1.1206,0.8107,33
fp16,2,math,"Solve step by step: If 3x + 7 = 22, what is x?",81,1.224,66.2,0.85,0.5522,0.8706,30
fp16,2,math,A train travels 120 km in 2 hours. It then travels 180 km in 3 hours. What is it,81,1.187,68.2,0.9138,0.4297,0.9006,29
fp16,2,math,Calculate the derivative of f(x) = x^3 * sin(x). Show your work.,80,1.15,69.6,0.9286,0.3592,0.9222,28
fp16,2,math,"If a rectangle has a perimeter of 30 and a width of 5, what is its area?",81,1.114,72.7,1.0,0.4124,0.9053,27
fp16,2,math,Solve: The sum of three consecutive integers is 72. What are they?,81,1.266,64.0,0.8065,1.1332,0.7653,31
fp16,2,chat,What are the pros and cons of remote work? Give a balanced view.,81,1.211,66.9,0.8667,1.3746,0.7361,30
fp16,2,chat,Explain quantum computing to a 10-year-old.,81,1.383,58.6,0.7059,1.3782,0.7421,34
fp16,2,chat,What are some healthy meal prep ideas for a busy week?,80,1.193,67.1,0.8793,0.8744,0.8234,29
fp16,2,chat,Recommend 5 books for someone who loved Sapiens by Yuval Noah Harari.,80,1.464,54.6,0.6111,2.2815,0.6176,36
fp16,2,chat,What's the difference between machine learning and deep learning?,80,1.332,60.1,0.7121,1.5508,0.6863,33
fp16,2,summarization,Summarize the key ideas behind the theory of relativity in 5 bullet points.,81,1.424,56.9,0.6714,1.0623,0.7962,35
fp16,2,summarization,Explain the main events of World War II in a concise paragraph.,81,1.185,68.4,0.8966,0.8437,0.8358,29
fp16,2,summarization,Summarize how the internet works in simple terms.,80,1.265,63.2,0.7903,1.5129,0.7119,31
fp16,2,summarization,Give a brief overview of the history of artificial intelligence.,80,1.23,65.0,0.8333,1.2248,0.7685,30
fp16,2,summarization,Summarize the plot of Romeo and Juliet in 3 sentences.,80,1.269,63.0,0.7903,1.0776,0.8039,31
fp16,4,code,Write a Python function that implements binary search on a sorted list.,81,1.389,58.3,0.6705,0.9374,0.7929,22
fp16,4,code,"Write a Python class for a linked list with insert, delete, and search methods.",80,1.14,70.2,0.8611,0.5858,0.8909,18
fp16,4,code,Implement quicksort in Python with detailed comments.,81,1.26,64.3,0.7625,0.4812,0.8877,20
fp16,4,code,Write a Python function to find all prime numbers up to n using the Sieve of Era,80,1.333,60.0,0.7024,0.5593,0.8799,21
fp16,4,code,Create a Python decorator that caches function results with a TTL expiry.,81,1.38,58.7,0.6818,1.1684,0.8025,22
fp16,4,math,"Solve step by step: If 3x + 7 = 22, what is x?",81,1.196,67.7,0.8158,0.4522,0.8945,19
fp16,4,math,A train travels 120 km in 2 hours. It then travels 180 km in 3 hours. What is it,81,1.185,68.3,0.8421,0.383,0.908,19
fp16,4,math,Calculate the derivative of f(x) = x^3 * sin(x). Show your work.,80,1.127,71.0,0.8704,0.4149,0.9003,18
fp16,4,math,"If a rectangle has a perimeter of 30 and a width of 5, what is its area?",80,1.012,79.1,1.0,0.383,0.9131,16
fp16,4,math,Solve: The sum of three consecutive integers is 72. What are they?,80,1.33,60.1,0.7024,1.0612,0.7686,21
fp16,4,chat,What are the pros and cons of remote work? Give a balanced view.,81,1.284,63.1,0.75,1.304,0.7466,21
fp16,4,chat,Explain quantum computing to a 10-year-old.,81,1.655,48.9,0.5309,1.4813,0.7105,27
fp16,4,chat,What are some healthy meal prep ideas for a busy week?,80,1.185,67.5,0.8114,0.9716,0.8014,19
fp16,4,chat,Recommend 5 books for someone who loved Sapiens by Yuval Noah Harari.,81,1.68,48.2,0.5093,2.1579,0.6356,27
fp16,4,chat,What's the difference between machine learning and deep learning?,80,1.412,56.7,0.6232,1.5162,0.6895,23
fp16,4,summarization,Summarize the key ideas behind the theory of relativity in 5 bullet points.,81,1.62,50.0,0.5481,1.1353,0.7873,26
fp16,4,summarization,Explain the main events of World War II in a concise paragraph.,81,1.139,71.1,0.875,0.7948,0.845,18
fp16,4,summarization,Summarize how the internet works in simple terms.,81,1.5,54.0,0.6042,1.7675,0.6699,24
fp16,4,summarization,Give a brief overview of the history of artificial intelligence.,80,1.322,60.5,0.7024,1.3184,0.7411,21
fp16,4,summarization,Summarize the plot of Romeo and Juliet in 3 sentences.,80,1.306,61.3,0.7143,0.9498,0.8275,21
fp16,6,code,Write a Python function that implements binary search on a sorted list.,81,1.502,53.9,0.6019,0.8621,0.8077,18
fp16,6,code,"Write a Python class for a linked list with insert, delete, and search methods.",81,1.182,68.5,0.8095,0.6663,0.8697,14
fp16,6,code,Implement quicksort in Python with detailed comments.,81,1.355,59.8,0.6875,0.5035,0.8776,16
fp16,6,code,Write a Python function to find all prime numbers up to n using the Sieve of Era,81,1.407,57.6,0.6667,0.5396,0.8857,17
fp16,6,code,Create a Python decorator that caches function results with a TTL expiry.,81,1.533,52.8,0.5833,1.1879,0.7971,18
fp16,6,math,"Solve step by step: If 3x + 7 = 22, what is x?",81,1.321,61.3,0.7292,0.4694,0.8942,16
fp16,6,math,A train travels 120 km in 2 hours. It then travels 180 km in 3 hours. What is it,80,1.21,66.1,0.7857,0.3884,0.9086,14
fp16,6,math,Calculate the derivative of f(x) = x^3 * sin(x). Show your work.,80,1.163,68.8,0.8095,0.4059,0.8964,14
fp16,6,math,"If a rectangle has a perimeter of 30 and a width of 5, what is its area?",81,0.998,81.2,1.0,0.3262,0.9243,12
fp16,6,math,Solve: The sum of three consecutive integers is 72. What are they?,81,1.36,59.6,0.6875,1.1254,0.7652,16
